Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
acceptable,1,73,1,acceptable,adj,2,socially,adv,1,124
appropriate,1,,1,appropriate,adj,2,particularly,adv,1,
available,5,,5,available,adj,2,currently,adv,1,
changing,2,,5,available,adj,2,freely,adv,1,
clear,2,,5,available,adj,2,publicly,adv,1,
common,3,,5,available,adj,2,readily,adv,1,
competitive,1,,5,available,adj,2,widely,adv,1,
complex,3,,2,changing,adj,2,ever,adv,1,
constant,1,,2,changing,adj,2,rapidly,adv,1,
controversial,1,,2,clear,adj,2,entirely,adv,1,
correct,1,,2,clear,adj,2,fairly,adv,1,
critical,1,,3,common,adj,2,fairly,adv,1,
dependent,1,,3,common,adj,2,increasingly,adv,1,
effective,2,,3,common,adj,2,relatively,adv,1,
equal,1,,1,competitive,adj,2,highly,adv,1,
established,2,,3,complex,adj,2,extremely,adv,1,
following,1,,3,complex,adj,2,highly,adv,1,
growing,1,,3,complex,adj,2,increasingly,adv,1,
high,3,,1,constant,adj,2,relatively,adv,1,
increasing,1,,1,controversial,adj,2,highly,adv,1,
likely,2,,1,correct,adj,2,politically,adv,1,
little,1,,1,critical,adj,2,highly,adv,1,
low,1,,1,dependent,adj,2,highly,adv,1,
minor,1,,2,effective,adj,2,highly,adv,1,
new,1,,2,effective,adj,2,particularly,adv,1,
obvious,2,,1,equal,adj,2,roughly,adv,1,
popular,1,,2,established,adj,2,long,adv,1,
powerful,1,,2,established,adj,2,newly,adv,1,
preceding,1,,1,following,adj,2,immediately,adv,1,
recent,1,,1,growing,adj,2,rapidly,adv,1,
relevant,2,,3,high,adj,2,relatively,adv,1,
significant,3,,3,high,adj,2,significantly,adv,1,
similar,2,,3,high,adj,2,slightly,adv,1,
simple,1,,1,increasing,adj,2,ever,adv,1,
skilled,1,,2,likely,adj,2,equally,adv,1,
specific,2,,2,likely,adj,2,highly,adv,1,
striking,1,,1,little,adj,2,relatively,adv,1,
successful,2,,1,low,adj,2,relatively,adv,1,
useful,2,,1,minor,adj,2,relatively,adv,1,
valid,1,,1,new,adj,2,entirely,adv,1,
valuable,2,,2,obvious,adj,2,fairly,adv,1,
aware,5,,2,obvious,adj,2,immediately,adv,1,
identical,1,,1,popular,adj,2,increasingly,adv,1,
apparent,2,,1,powerful,adj,2,extremely,adv,1,
evident,2,,1,preceding,adj,2,immediately,adv,1,
visible,1,,1,recent,adj,2,relatively,adv,1,
important,3,,2,relevant,adj,2,highly,adv,1,
proportional,1,,2,relevant,adj,2,particularly,adv,1,
responsible,5,,3,significant,adj,2,highly,adv,1,
accessible,2,,3,significant,adj,2,particularly,adv,1,
different,9,,3,significant,adj,2,statistically,adv,1,
true,1,,2,similar,adj,2,broadly,adv,1,
