Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
assessment,1,156,1,assessment,n,2,make,v,1,306
conflict,2,,2,conflict,n,2,come,v,1,
data,13,,2,conflict,n,2,resolve,v,1,
information,19,,13,data,n,2,collect,v,1,
learning,1,,13,data,n,2,extract,v,1,
problem,6,,13,data,n,2,gather,v,1,
research,4,,13,data,n,2,interpret,v,1,
service,1,,13,data,n,2,obtain,v,1,
source,3,,13,data,n,2,present,v,1,
stress,2,,13,data,n,2,process,v,1,
survey,1,,13,data,n,2,provide,v,1,
target,2,,13,data,n,2,record,v,1,
concept,1,,13,data,n,2,report,v,1,
journal,1,,13,data,n,2,store,v,1,
performance,1,,13,data,n,2,transmit,v,1,
study,3,,13,data,n,2,use,v,1,
work,1,,19,information,n,2,add,v,1,
responsibility,3,,19,information,n,2,carry,v,1,
goal,2,,19,information,n,2,collect,v,1,
objective,3,,19,information,n,2,contain,v,1,
outcome,2,,19,information,n,2,convey,v,1,
knowledge,2,,19,information,n,2,disclose,v,1,
role,5,,19,information,n,2,extract,v,1,
resource,4,,19,information,n,2,find,v,1,
support,1,,19,information,n,2,gain,v,1,
issue,7,,19,information,n,2,gather,v,1,
procedure,4,,19,information,n,2,give,v,1,
approach,4,,19,information,n,2,obtain,v,1,
development,5,,19,information,n,2,process,v,1,
access,6,,19,information,n,2,provide,v,1,
explanation,2,,19,information,n,2,receive,v,1,
method,5,,19,information,n,2,seek,v,1,
strategy,3,,19,information,n,2,share,v,1,
way,1,,19,information,n,2,store,v,1,
evidence,5,,19,information,n,2,transmit,v,1,
conference,2,,1,learning,n,2,enhance,v,1,
report,1,,6,problem,n,2,create,v,1,
theory,4,,6,problem,n,2,encounter,v,1,
condition,1,,6,problem,n,2,experience,v,1,
treatment,2,,6,problem,n,2,face,v,1,
impact,3,,6,problem,n,2,identify,v,1,
process,3,,6,problem,n,2,pose,v,1,
factor,1,,4,research,n,2,carry,v,1,
assumption,1,,4,research,n,2,conduct,v,1,
element,1,,4,research,n,2,publish,v,1,
function,2,,4,research,n,2,undertake,v,1,
technique,3,,1,service,n,2,provide,v,1,
resemblance,1,,3,source,n,2,become,v,1,
focus,2,,3,source,n,2,provide,v,1,
overview,2,,3,source,n,2,use,v,1,
summary,2,,2,stress,n,2,cause,v,1,
agreement,1,,2,stress,n,2,reduce,v,1,
category,1,,1,survey,n,2,conduct,v,1,
definition,1,,2,target,n,2,meet,v,1,
range,1,,2,target,n,2,set,v,1,
context,1,,1,concept,n,2,use,v,1,
opportunity,3,,1,journal,n,2,publish,v,1,
analysis,2,,1,performance,n,2,enhance,v,1,
attention,2,,3,study,n,2,conduct,v,1,
consideration,3,,3,study,n,2,perform,v,1,
task,3,,3,study,n,2,review,v,1,
doubt,1,,1,work,n,2,undertake,v,1,
relationship,1,,3,responsibility,n,2,accept,v,1,
consequence,2,,3,responsibility,n,2,assume,v,1,
authority,1,,3,responsibility,n,2,take,v,1,
feature,1,,2,goal,n,2,achieve,v,1,
question,2,,2,goal,n,2,set,v,1,
aspect,2,,3,objective,n,2,achieve,v,1,
attitude,1,,3,objective,n,2,meet,v,1,
example,1,,3,objective,n,2,set,v,1,
distinction,2,,2,outcome,n,2,achieve,v,1,
indication,2,,2,outcome,n,2,affect,v,1,
statement,1,,2,knowledge,n,2,acquire,v,1,
contact,3,,2,knowledge,n,2,require,v,1,
activity,2,,5,role,n,2,assume,v,1,
crime,1,,5,role,n,2,consider,v,1,
offense,1,,5,role,n,2,examine,v,1,
error,1,,5,role,n,2,play,v,1,
argument,4,,5,role,n,2,take,v,1,
area,2,,4,resource,n,2,allocate,v,1,
interview,1,,4,resource,n,2,provide,v,1,
possibility,1,,4,resource,n,2,require,v,1,
implication,1,,4,resource,n,2,use,v,1,
variation,1,,1,support,n,2,provide,v,1,
result,1,,7,issue,n,2,address,v,1,
meaning,1,,7,issue,n,2,consider,v,1,
message,1,,7,issue,n,2,deal,v,1,
topic,2,,7,issue,n,2,discuss,v,1,
environment,1,,7,issue,n,2,explore,v,1,
impression,3,,7,issue,n,2,identify,v,1,
policy,1,,7,issue,n,2,raise,v,1,
trend,1,,4,procedure,n,2,adopt,v,1,
living,1,,4,procedure,n,2,describe,v,1,
competence,1,,4,procedure,n,2,follow,v,1,
statistic,1,,4,procedure,n,2,use,v,1,
observation,1,,4,approach,n,2,adopt,v,1,
line,1,,4,approach,n,2,develop,v,1,
conclusion,2,,4,approach,n,2,take,v,1,
benefit,1,,4,approach,n,2,use,v,1,
provision,1,,5,development,n,2,affect,v,1,
difficulty,4,,5,development,n,2,contribute,v,1,
dilemma,1,,5,development,n,2,encourage,v,1,
threat,1,,5,development,n,2,facilitate,v,1,
discrimination,1,,5,development,n,2,promote,v,1,
challenge,3,,6,access,n,2,allow,v,1,
assistance,1,,6,access,n,2,deny,v,1,
priority,1,,6,access,n,2,gain,v,1,
format,2,,6,access,n,2,give,v,1,
instruction,1,,6,access,n,2,have,v,1,
obligation,2,,6,access,n,2,provide,v,1,
potential,1,,2,explanation,n,2,give,v,1,
requirement,1,,2,explanation,n,2,provide,v,1,
insight,4,,5,method,n,2,apply,v,1,
equality,1,,5,method,n,2,describe,v,1,
consensus,1,,5,method,n,2,develop,v,1,
tendency,2,,5,method,n,2,employ,v,1,
consent,1,,5,method,n,2,use,v,1,
emphasis,3,,3,strategy,n,2,develop,v,1,
feedback,3,,3,strategy,n,2,have,v,1,
guidance,2,,3,strategy,n,2,use,v,1,
presentation,1,,1,way,n,2,identify,v,1,
awareness,2,,5,evidence,n,2,find,v,1,
likelihood,2,,5,evidence,n,2,give,v,1,
limitation,2,,5,evidence,n,2,present,v,1,
expectation,1,,5,evidence,n,2,provide,v,1,
constraint,1,,5,evidence,n,2,show,v,1,
restriction,1,,2,conference,n,2,attend,v,1,
arrangement,1,,2,conference,n,2,hold,v,1,
treaty,1,,1,report,n,2,publish,v,1,
legislation,1,,4,theory,n,2,apply,v,1,
finding,1,,4,theory,n,2,develop,v,1,
contribution,1,,4,theory,n,2,test,v,1,
adjustment,1,,4,theory,n,2,use,v,1,
comment,1,,1,condition,n,2,create,v,1,
prediction,1,,2,treatment,n,2,give,v,1,
recommendation,1,,2,treatment,n,2,receive,v,1,
transition,1,,3,impact,n,2,assess,v,1,
judgment,1,,3,impact,n,2,consider,v,1,
coverage,1,,3,impact,n,2,make,v,1,
criterion,2,,3,process,n,2,begin,v,1,
initiative,1,,3,process,n,2,describe,v,1,
agenda,1,,3,process,n,2,start,v,1,
care,1,,1,factor,n,2,identify,v,1,
material,1,,1,assumption,n,2,make,v,1,
clue,1,,1,element,n,2,contain,v,1,
foundation,1,,2,function,n,2,perform,v,1,
alternative,1,,2,function,n,2,serve,v,1,
illustration,1,,3,technique,n,2,develop,v,1,
article,1,,3,technique,n,2,employ,v,1,
peak,1,,3,technique,n,2,use,v,1,
emission,1,,1,resemblance,n,2,bear,v,1,
methodology,1,,2,focus,n,2,become,v,1,
dispute,1,,2,focus,n,2,provide,v,1,
help,1,,2,overview,n,2,give,v,1,
parameter,1,,2,overview,n,2,provide,v,1,
precedence,1,,2,summary,n,2,present,v,1,
,,,2,summary,n,2,provide,v,1,
,,,1,agreement,n,2,reach,v,1,
,,,1,category,n,2,fall,v,1,
,,,1,definition,n,2,use,v,1,
,,,1,range,n,2,cover,v,1,
,,,1,context,n,2,provide,v,1,
,,,3,opportunity,n,2,create,v,1,
,,,3,opportunity,n,2,offer,v,1,
,,,3,opportunity,n,2,provide,v,1,
,,,2,analysis,n,2,conduct,v,1,
,,,2,analysis,n,2,use,v,1,
,,,2,attention,n,2,draw,v,1,
,,,2,attention,n,2,focus,v,1,
,,,3,consideration,n,2,give,v,1,
,,,3,consideration,n,2,require,v,1,
,,,3,consideration,n,2,take,v,1,
,,,3,task,n,2,carry,v,1,
,,,3,task,n,2,complete,v,1,
,,,3,task,n,2,perform,v,1,
,,,1,doubt,n,2,cast,v,1,
,,,1,relationship,n,2,establish,v,1,
,,,2,consequence,n,2,cause,v,1,
,,,2,consequence,n,2,have,v,1,
,,,1,authority,n,2,exercise,v,1,
,,,1,feature,n,2,identify,v,1,
,,,2,question,n,2,pose,v,1,
,,,2,question,n,2,raise,v,1,
,,,2,aspect,n,2,consider,v,1,
,,,2,aspect,n,2,focus,v,1,
,,,1,attitude,n,2,change,v,1,
,,,1,example,n,2,provide,v,1,
,,,2,distinction,n,2,draw,v,1,
,,,2,distinction,n,2,make,v,1,
,,,2,indication,n,2,give,v,1,
,,,2,indication,n,2,provide,v,1,
,,,1,statement,n,2,make,v,1,
,,,3,contact,n,2,come,v,1,
,,,3,contact,n,2,maintain,v,1,
,,,3,contact,n,2,make,v,1,
,,,2,activity,n,2,engage,v,1,
,,,2,activity,n,2,undertake,v,1,
,,,1,crime,n,2,commit,v,1,
,,,1,offense,n,2,commit,v,1,
,,,1,error,n,2,correct,v,1,
,,,4,argument,n,2,develop,v,1,
,,,4,argument,n,2,make,v,1,
,,,4,argument,n,2,present,v,1,
,,,4,argument,n,2,support,v,1,
,,,2,area,n,2,cover,v,1,
,,,2,area,n,2,identify,v,1,
,,,1,interview,n,2,conduct,v,1,
,,,1,possibility,n,2,consider,v,1,
,,,1,implication,n,2,consider,v,1,
,,,1,variation,n,2,show,v,1,
,,,1,result,n,2,obtain,v,1,
,,,1,meaning,n,2,convey,v,1,
,,,1,message,n,2,convey,v,1,
,,,2,topic,n,2,cover,v,1,
,,,2,topic,n,2,discuss,v,1,
,,,1,environment,n,2,create,v,1,
,,,3,impression,n,2,create,v,1,
