Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
become,11,8,11,become,v,1,apparent,adj,2,30
consider,2,,11,become,v,1,available,adj,2,
deem,2,,11,become,v,1,aware,adj,2,
get,1,,11,become,v,1,blurred,adj,2,
make,4,,11,become,v,1,established,adj,2,
prove,2,,11,become,v,1,evident,adj,2,
remain,4,,11,become,v,1,independent,adj,2,
seem,4,,11,become,v,1,involved,adj,2,
,,,11,become,v,1,obvious,adj,2,
,,,11,become,v,1,visible,adj,2,
,,,11,become,v,1,widespread,adj,2,
,,,2,consider,v,1,appropriate,adj,2,
,,,2,consider,v,1,relevant,adj,2,
,,,2,deem,v,1,appropriate,adj,2,
,,,2,deem,v,1,necessary,adj,2,
,,,1,get,v,1,involved,adj,2,
,,,4,make,v,1,available,adj,2,
,,,4,make,v,1,aware,adj,2,
,,,4,make,v,1,explicit,adj,2,
,,,4,make,v,1,visible,adj,2,
,,,2,prove,v,1,successful,adj,2,
,,,2,prove,v,1,useful,adj,2,
,,,4,remain,v,1,constant,adj,2,
,,,4,remain,v,1,stable,adj,2,
,,,4,remain,v,1,unchanged,adj,2,
,,,4,remain,v,1,unclear,adj,2,
,,,4,seem,v,1,appropriate,adj,2,
,,,4,seem,v,1,obvious,adj,2,
,,,4,seem,v,1,plausible,adj,2,
,,,4,seem,v,1,unlikely,adj,2,
