Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
accept,1,107,1,accept,v,1,responsibility,n,2,306
achieve,3,,3,achieve,v,1,goal,n,2,
acquire,1,,3,achieve,v,1,objective,n,2,
add,1,,3,achieve,v,1,outcome,n,2,
address,1,,1,acquire,v,1,knowledge,n,2,
adopt,2,,1,add,v,1,information,n,2,
affect,2,,1,address,v,1,issue,n,2,
allocate,1,,2,adopt,v,1,procedure,n,2,
allow,1,,2,adopt,v,1,approach,n,2,
apply,2,,2,affect,v,1,outcome,n,2,
assess,1,,2,affect,v,1,development,n,2,
assume,2,,1,allocate,v,1,resource,n,2,
attend,1,,1,allow,v,1,access,n,2,
bear,1,,2,apply,v,1,method,n,2,
become,2,,2,apply,v,1,theory,n,2,
begin,1,,1,assess,v,1,impact,n,2,
carry,3,,2,assume,v,1,responsibility,n,2,
cast,1,,2,assume,v,1,role,n,2,
cause,2,,1,attend,v,1,conference,n,2,
change,1,,1,bear,v,1,resemblance,n,2,
collect,2,,2,become,v,1,source,n,2,
come,2,,2,become,v,1,focus,n,2,
commit,2,,1,begin,v,1,process,n,2,
complete,1,,3,carry,v,1,information,n,2,
conduct,5,,3,carry,v,1,research,n,2,
consider,6,,3,carry,v,1,task,n,2,
contain,2,,1,cast,v,1,doubt,n,2,
contribute,1,,2,cause,v,1,consequence,n,2,
convey,3,,2,cause,v,1,stress,n,2,
correct,1,,1,change,v,1,attitude,n,2,
cover,3,,2,collect,v,1,data,n,2,
create,5,,2,collect,v,1,information,n,2,
deal,1,,2,come,v,1,conflict,n,2,
demonstrate,1,,2,come,v,1,contact,n,2,
deny,1,,2,commit,v,1,crime,n,2,
describe,3,,2,commit,v,1,offense,n,2,
develop,6,,1,complete,v,1,task,n,2,
disclose,1,,5,conduct,v,1,research,n,2,
discuss,2,,5,conduct,v,1,study,n,2,
draw,4,,5,conduct,v,1,survey,n,2,
employ,2,,5,conduct,v,1,analysis,n,2,
encounter,2,,5,conduct,v,1,interview,n,2,
encourage,1,,6,consider,v,1,possibility,n,2,
engage,1,,6,consider,v,1,aspect,n,2,
enhance,2,,6,consider,v,1,issue,n,2,
establish,1,,6,consider,v,1,impact,n,2,
examine,1,,6,consider,v,1,implication,n,2,
exercise,1,,6,consider,v,1,role,n,2,
experience,2,,2,contain,v,1,information,n,2,
explore,1,,2,contain,v,1,element,n,2,
extract,2,,1,contribute,v,1,development,n,2,
face,5,,3,convey,v,1,information,n,2,
facilitate,1,,3,convey,v,1,meaning,n,2,
fall,1,,3,convey,v,1,message,n,2,
find,2,,1,correct,v,1,error,n,2,
focus,2,,3,cover,v,1,range,n,2,
follow,3,,3,cover,v,1,topic,n,2,
fulfill,1,,3,cover,v,1,area,n,2,
gain,3,,5,create,v,1,condition,n,2,
gather,2,,5,create,v,1,opportunity,n,2,
give,16,,5,create,v,1,problem,n,2,
have,7,,5,create,v,1,environment,n,2,
hold,1,,5,create,v,1,impression,n,2,
identify,6,,1,deal,v,1,issue,n,2,
impose,3,,1,demonstrate,v,1,competence,n,2,
increase,2,,1,deny,v,1,access,n,2,
interpret,1,,3,describe,v,1,method,n,2,
introduce,1,,3,describe,v,1,process,n,2,
lead,1,,3,describe,v,1,procedure,n,2,
maintain,1,,6,develop,v,1,method,n,2,
make,20,,6,develop,v,1,strategy,n,2,
meet,5,,6,develop,v,1,technique,n,2,
obtain,3,,6,develop,v,1,theory,n,2,
offer,2,,6,develop,v,1,approach,n,2,
perform,3,,6,develop,v,1,argument,n,2,
place,1,,1,disclose,v,1,information,n,2,
play,1,,2,discuss,v,1,topic,n,2,
pose,4,,2,discuss,v,1,issue,n,2,
present,6,,4,draw,v,1,attention,n,2,
process,2,,4,draw,v,1,conclusion,n,2,
promote,2,,4,draw,v,1,distinction,n,2,
provide,28,,4,draw,v,1,line,n,2,
publish,4,,2,employ,v,1,method,n,2,
raise,3,,2,employ,v,1,technique,n,2,
reach,3,,2,encounter,v,1,difficulty,n,2,
receive,3,,2,encounter,v,1,problem,n,2,
record,1,,1,encourage,v,1,development,n,2,
reduce,3,,1,engage,v,1,activity,n,2,
report,2,,2,enhance,v,1,learning,n,2,
require,3,,2,enhance,v,1,performance,n,2,
resolve,2,,1,establish,v,1,relationship,n,2,
review,1,,1,examine,v,1,role,n,2,
seek,2,,1,exercise,v,1,authority,n,2,
serve,1,,2,experience,v,1,difficulty,n,2,
set,5,,2,experience,v,1,problem,n,2,
share,1,,1,explore,v,1,issue,n,2,
shift,1,,2,extract,v,1,data,n,2,
show,4,,2,extract,v,1,information,n,2,
sign,1,,5,face,v,1,difficulty,n,2,
start,1,,5,face,v,1,discrimination,n,2,
store,2,,5,face,v,1,challenge,n,2,
support,1,,5,face,v,1,dilemma,n,2,
take,6,,5,face,v,1,problem,n,2,
test,1,,1,facilitate,v,1,development,n,2,
transmit,2,,1,fall,v,1,category,n,2,
undertake,3,,2,find,v,1,evidence,n,2,
use,16,,2,find,v,1,information,n,2,
,,,2,focus,v,1,attention,n,2,
,,,2,focus,v,1,aspect,n,2,
,,,3,follow,v,1,format,n,2,
,,,3,follow,v,1,procedure,n,2,
,,,3,follow,v,1,instruction,n,2,
,,,1,fulfill,v,1,obligation,n,2,
,,,3,gain,v,1,access,n,2,
,,,3,gain,v,1,information,n,2,
,,,3,gain,v,1,insight,n,2,
,,,2,gather,v,1,data,n,2,
,,,2,gather,v,1,information,n,2,
,,,16,give,v,1,access,n,2,
,,,16,give,v,1,consent,n,2,
,,,16,give,v,1,consideration,n,2,
,,,16,give,v,1,emphasis,n,2,
,,,16,give,v,1,evidence,n,2,
,,,16,give,v,1,feedback,n,2,
,,,16,give,v,1,priority,n,2,
,,,16,give,v,1,guidance,n,2,
,,,16,give,v,1,information,n,2,
,,,16,give,v,1,insight,n,2,
,,,16,give,v,1,presentation,n,2,
,,,16,give,v,1,explanation,n,2,
,,,16,give,v,1,indication,n,2,
,,,16,give,v,1,overview,n,2,
,,,16,give,v,1,impression,n,2,
,,,16,give,v,1,treatment,n,2,
,,,7,have,v,1,access,n,2,
,,,7,have,v,1,consequence,n,2,
,,,7,have,v,1,limitation,n,2,
,,,7,have,v,1,potential,n,2,
,,,7,have,v,1,strategy,n,2,
,,,7,have,v,1,tendency,n,2,
,,,7,have,v,1,obligation,n,2,
,,,1,hold,v,1,conference,n,2,
,,,6,identify,v,1,factor,n,2,
,,,6,identify,v,1,feature,n,2,
,,,6,identify,v,1,problem,n,2,
,,,6,identify,v,1,way,n,2,
,,,6,identify,v,1,area,n,2,
,,,6,identify,v,1,issue,n,2,
,,,3,impose,v,1,constraint,n,2,
,,,3,impose,v,1,limitation,n,2,
,,,3,impose,v,1,restriction,n,2,
,,,2,increase,v,1,awareness,n,2,
,,,2,increase,v,1,likelihood,n,2,
,,,1,interpret,v,1,data,n,2,
,,,1,introduce,v,1,legislation,n,2,
,,,1,lead,v,1,conclusion,n,2,
,,,1,maintain,v,1,contact,n,2,
,,,20,make,v,1,adjustment,n,2,
,,,20,make,v,1,arrangement,n,2,
,,,20,make,v,1,contact,n,2,
,,,20,make,v,1,contribution,n,2,
,,,20,make,v,1,policy,n,2,
,,,20,make,v,1,provision,n,2,
,,,20,make,v,1,comment,n,2,
,,,20,make,v,1,distinction,n,2,
,,,20,make,v,1,living,n,2,
,,,20,make,v,1,prediction,n,2,
,,,20,make,v,1,recommendation,n,2,
,,,20,make,v,1,statement,n,2,
,,,20,make,v,1,transition,n,2,
,,,20,make,v,1,argument,n,2,
,,,20,make,v,1,assessment,n,2,
,,,20,make,v,1,assumption,n,2,
,,,20,make,v,1,impact,n,2,
,,,20,make,v,1,impression,n,2,
,,,20,make,v,1,observation,n,2,
,,,20,make,v,1,judgment,n,2,
,,,5,meet,v,1,criterion,n,2,
,,,5,meet,v,1,expectation,n,2,
,,,5,meet,v,1,requirement,n,2,
,,,5,meet,v,1,target,n,2,
,,,5,meet,v,1,objective,n,2,
,,,3,obtain,v,1,data,n,2,
,,,3,obtain,v,1,information,n,2,
,,,3,obtain,v,1,result,n,2,
,,,2,offer,v,1,insight,n,2,
,,,2,offer,v,1,opportunity,n,2,
,,,3,perform,v,1,function,n,2,
,,,3,perform,v,1,study,n,2,
,,,3,perform,v,1,task,n,2,
,,,1,place,v,1,emphasis,n,2,
,,,1,play,v,1,role,n,2,
,,,4,pose,v,1,challenge,n,2,
,,,4,pose,v,1,problem,n,2,
,,,4,pose,v,1,question,n,2,
,,,4,pose,v,1,threat,n,2,
,,,6,present,v,1,data,n,2,
,,,6,present,v,1,difficulty,n,2,
,,,6,present,v,1,evidence,n,2,
,,,6,present,v,1,challenge,n,2,
,,,6,present,v,1,summary,n,2,
,,,6,present,v,1,argument,n,2,
,,,2,process,v,1,data,n,2,
