Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
accept,4,79,4,accept,v,2,commonly,adv,1,139
acquire,1,,4,accept,v,2,generally,adv,1,
adopt,1,,4,accept,v,2,universally,adv,1,
affect,4,,4,accept,v,2,widely,adv,1,
assume,1,,1,acquire,v,2,newly,adv,1,
consider,1,,1,adopt,v,2,widely,adv,1,
create,1,,4,affect,v,2,adversely,adv,1,
demonstrate,1,,4,affect,v,2,directly,adv,1,
describe,3,,4,affect,v,2,severely,adv,1,
develop,3,,4,affect,v,2,significantly,adv,1,
discuss,3,,1,assume,v,2,generally,adv,1,
encounter,1,,1,consider,v,2,generally,adv,1,
enhance,1,,1,create,v,2,newly,adv,1,
establish,4,,1,demonstrate,v,2,clearly,adv,1,
find,3,,3,describe,v,2,best,adv,1,
identify,2,,3,describe,v,2,briefly,adv,1,
increase,2,,3,describe,v,2,previously,adv,1,
receive,1,,3,develop,v,2,fully,adv,1,
reduce,2,,3,develop,v,2,highly,adv,1,
share,1,,3,develop,v,2,originally,adv,1,
think,1,,3,discuss,v,2,briefly,adv,1,
use,4,,3,discuss,v,2,previously,adv,1,
involve,2,,3,discuss,v,2,widely,adv,1,
define,2,,1,encounter,v,2,commonly,adv,1,
control,2,,1,enhance,v,2,greatly,adv,1,
select,2,,4,establish,v,2,clearly,adv,1,
relate,4,,4,establish,v,2,firmly,adv,1,
understand,6,,4,establish,v,2,once,adv,1,
ally,1,,4,establish,v,2,well,adv,1,
associate,4,,3,find,v,2,commonly,adv,1,
connect,3,,3,find,v,2,frequently,adv,1,
link,4,,3,find,v,2,generally,adv,1,
resemble,1,,2,identify,v,2,clearly,adv,1,
tie,1,,2,identify,v,2,easily,adv,1,
call,1,,2,increase,v,2,greatly,adv,1,
know,4,,2,increase,v,2,significantly,adv,1,
refer,2,,1,receive,v,2,well,adv,1,
evaluate,1,,2,reduce,v,2,greatly,adv,1,
embed,1,,2,reduce,v,2,significantly,adv,1,
root,1,,1,share,v,2,widely,adv,1,
populate,2,,1,think,v,2,previously,adv,1,
remove,1,,4,use,v,2,commonly,adv,1,
cite,1,,4,use,v,2,extensively,adv,1,
inform,1,,4,use,v,2,frequently,adv,1,
integrate,1,,4,use,v,2,widely,adv,1,
realize,1,,2,involve,v,2,actively,adv,1,
divide,1,,2,involve,v,2,directly,adv,1,
agree,2,,2,define,v,2,broadly,adv,1,
influence,3,,2,define,v,2,clearly,adv,1,
charge,1,,2,control,v,2,carefully,adv,1,
correlate,5,,2,control,v,2,tightly,adv,1,
educate,2,,2,select,v,2,carefully,adv,1,
structure,1,,2,select,v,2,randomly,adv,1,
value,1,,4,relate,v,2,clearly,adv,1,
suit,2,,4,relate,v,2,closely,adv,1,
base,1,,4,relate,v,2,directly,adv,1,
confine,1,,4,relate,v,2,strongly,adv,1,
determine,1,,6,understand,v,2,clearly,adv,1,
ignore,1,,6,understand,v,2,easily,adv,1,
concern,3,,6,understand,v,2,fully,adv,1,
discover,1,,6,understand,v,2,poorly,adv,1,
form,1,,6,understand,v,2,properly,adv,1,
intend,1,,6,understand,v,2,readily,adv,1,
motivate,1,,1,ally,v,2,closely,adv,1,
mention,1,,4,associate,v,2,closely,adv,1,
assign,1,,4,associate,v,2,commonly,adv,1,
choose,1,,4,associate,v,2,positively,adv,1,
construct,1,,4,associate,v,2,strongly,adv,1,
design,2,,3,connect,v,2,closely,adv,1,
disagree,1,,3,connect,v,2,directly,adv,1,
oppose,1,,3,connect,v,2,intimately,adv,1,
suggest,1,,4,link,v,2,closely,adv,1,
document,1,,4,link,v,2,directly,adv,1,
believe,1,,4,link,v,2,inextricably,adv,1,
disperse,1,,4,link,v,2,strongly,adv,1,
distribute,1,,1,resemble,v,2,closely,adv,1,
read,1,,1,tie,v,2,closely,adv,1,
recognize,1,,1,call,v,2,commonly,adv,1,
regard,1,,4,know,v,2,commonly,adv,1,
,,,4,know,v,2,generally,adv,1,
,,,4,know,v,2,previously,adv,1,
,,,4,know,v,2,widely,adv,1,
,,,2,refer,v,2,commonly,adv,1,
,,,2,refer,v,2,frequently,adv,1,
,,,1,evaluate,v,2,critically,adv,1,
,,,1,embed,v,2,deeply,adv,1,
,,,1,root,v,2,deeply,adv,1,
,,,2,populate,v,2,densely,adv,1,
,,,2,populate,v,2,sparsely,adv,1,
,,,1,remove,v,2,far,adv,1,
,,,1,cite,v,2,frequently,adv,1,
,,,1,inform,v,2,fully,adv,1,
,,,1,integrate,v,2,fully,adv,1,
,,,1,realize,v,2,fully,adv,1,
,,,1,divide,v,2,further,adv,1,
,,,2,agree,v,2,generally,adv,1,
,,,2,agree,v,2,strongly,adv,1,
,,,3,influence,v,2,greatly,adv,1,
,,,3,influence,v,2,heavily,adv,1,
,,,3,influence,v,2,strongly,adv,1,
,,,1,charge,v,2,highly,adv,1,
,,,5,correlate,v,2,highly,adv,1,
,,,5,correlate,v,2,negatively,adv,1,
,,,5,correlate,v,2,positively,adv,1,
,,,5,correlate,v,2,significantly,adv,1,
,,,5,correlate,v,2,strongly,adv,1,
,,,2,educate,v,2,highly,adv,1,
,,,2,educate,v,2,well,adv,1,
,,,1,structure,v,2,highly,adv,1,
,,,1,value,v,2,highly,adv,1,
,,,2,suit,v,2,ideally,adv,1,
,,,2,suit,v,2,particularly,adv,1,
,,,1,base,v,2,largely,adv,1,
,,,1,confine,v,2,largely,adv,1,
,,,1,determine,v,2,largely,adv,1,
,,,1,ignore,v,2,largely,adv,1,
,,,3,concern,v,2,mainly,adv,1,
,,,3,concern,v,2,particularly,adv,1,
,,,1,discover,v,2,newly,adv,1,
,,,1,form,v,2,newly,adv,1,
,,,1,intend,v,2,originally,adv,1,
,,,1,motivate,v,2,politically,adv,1,
,,,1,mention,v,2,previously,adv,1,
,,,3,concern,v,2,primarily,adv,1,
,,,1,assign,v,2,randomly,adv,1,
,,,1,choose,v,2,randomly,adv,1,
,,,1,construct,v,2,socially,adv,1,
,,,2,design,v,2,specifically,adv,1,
,,,2,design,v,2,well,adv,1,
,,,1,disagree,v,2,strongly,adv,1,
,,,1,oppose,v,2,strongly,adv,1,
,,,1,suggest,v,2,strongly,adv,1,
,,,1,document,v,2,well,adv,1,
,,,1,believe,v,2,widely,adv,1,
,,,1,disperse,v,2,widely,adv,1,
,,,1,distribute,v,2,widely,adv,1,
,,,1,read,v,2,widely,adv,1,
,,,1,recognize,v,2,widely,adv,1,
,,,1,regard,v,2,widely,adv,1,
