Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
abstract,1,416,1,abstract,adj,1,concept,n,2,1769
academic,19,,19,academic,adj,1,achievement,n,2,
acceptable,1,,19,academic,adj,1,career,n,2,
accurate,6,,19,academic,adj,1,circle,n,2,
active,4,,19,academic,adj,1,community,n,2,
additional,5,,19,academic,adj,1,debate,n,2,
administrative,1,,19,academic,adj,1,discipline,n,2,
advanced,2,,19,academic,adj,1,discourse,n,2,
adverse,2,,19,academic,adj,1,institution,n,2,
alternative,12,,19,academic,adj,1,journal,n,2,
ample,1,,19,academic,adj,1,life,n,2,
analytical,2,,19,academic,adj,1,performance,n,2,
anecdotal,1,,19,academic,adj,1,research,n,2,
annual,5,,19,academic,adj,1,skill,n,2,
appropriate,12,,19,academic,adj,1,study,n,2,
armed,1,,19,academic,adj,1,success,n,2,
artificial,1,,19,academic,adj,1,work,n,2,
associated,1,,19,academic,adj,1,world,n,2,
atomic,1,,19,academic,adj,1,writing,n,2,
available,4,,19,academic,adj,1,year,n,2,
average,1,,1,acceptable,adj,1,behaviour,n,2,
basic,11,,6,accurate,adj,1,assessment,n,2,
beneficial,1,,6,accurate,adj,1,description,n,2,
binary,2,,6,accurate,adj,1,information,n,2,
biological,3,,6,accurate,adj,1,measurement,n,2,
brief,10,,6,accurate,adj,1,picture,n,2,
broad,6,,6,accurate,adj,1,record,n,2,
capitalist,5,,4,active,adj,1,involvement,n,2,
careful,4,,4,active,adj,1,participant,n,2,
causal,3,,4,active,adj,1,participation,n,2,
central,18,,4,active,adj,1,role,n,2,
certain,4,,5,additional,adj,1,cost,n,2,
changing,6,,5,additional,adj,1,information,n,2,
characteristic,1,,5,additional,adj,1,problem,n,2,
chemical,1,,5,additional,adj,1,resource,n,2,
civil,2,,5,additional,adj,1,support,n,2,
classic,4,,1,administrative,adj,1,practice,n,2,
classical,1,,2,advanced,adj,1,economy,n,2,
clear,8,,2,advanced,adj,1,technology,n,2,
climatic,1,,2,adverse,adj,1,effect,n,2,
close,7,,2,adverse,adj,1,reaction,n,2,
cognitive,3,,12,alternative,adj,1,approach,n,2,
collaborative,1,,12,alternative,adj,1,explanation,n,2,
collective,3,,12,alternative,adj,1,form,n,2,
combined,1,,12,alternative,adj,1,interpretation,n,2,
commercial,2,,12,alternative,adj,1,mean,n,2,
common,12,,12,alternative,adj,1,method,n,2,
comparative,3,,12,alternative,adj,1,model,n,2,
compelling,3,,12,alternative,adj,1,solution,n,2,
competitive,2,,12,alternative,adj,1,source,n,2,
complex,12,,12,alternative,adj,1,strategy,n,2,
comprehensive,5,,12,alternative,adj,1,view,n,2,
conceptual,1,,12,alternative,adj,1,way,n,2,
concerted,1,,1,ample,adj,1,evidence,n,2,
concluding,2,,2,analytical,adj,1,approach,n,2,
conditional,1,,2,analytical,adj,1,tool,n,2,
conflicting,1,,1,anecdotal,adj,1,evidence,n,2,
considerable,14,,5,annual,adj,1,conference,n,2,
consistent,2,,5,annual,adj,1,meeting,n,2,
