Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
appropriate,3,23,3,appropriate,adj,2,consider,v,1,30
available,2,,3,appropriate,adj,2,deem,v,1,
constant,1,,3,appropriate,adj,2,seem,v,1,
established,1,,2,available,adj,2,become,v,1,
independent,1,,2,available,adj,2,make,v,1,
necessary,1,,1,constant,adj,2,remain,v,1,
obvious,2,,1,established,adj,2,become,v,1,
plausible,1,,1,independent,adj,2,become,v,1,
relevant,1,,1,necessary,adj,2,deem,v,1,
successful,1,,2,obvious,adj,2,become,v,1,
useful,1,,2,obvious,adj,2,seem,v,1,
widespread,1,,1,plausible,adj,2,seem,v,1,
aware,2,,1,relevant,adj,2,consider,v,1,
apparent,1,,1,successful,adj,2,prove,v,1,
blurred,1,,1,useful,adj,2,prove,v,1,
evident,1,,1,widespread,adj,2,become,v,1,
involved,2,,2,aware,adj,2,become,v,1,
visible,2,,2,aware,adj,2,make,v,1,
unlikely,1,,1,apparent,adj,2,become,v,1,
explicit,1,,1,blurred,adj,2,become,v,1,
stable,1,,1,evident,adj,2,become,v,1,
unchanged,1,,2,involved,adj,2,become,v,1,
unclear,1,,2,involved,adj,2,get,v,1,
,,,2,visible,adj,2,become,v,1,
,,,2,visible,adj,2,make,v,1,
,,,1,unlikely,adj,2,seem,v,1,
,,,1,explicit,adj,2,make,v,1,
,,,1,stable,adj,2,remain,v,1,
,,,1,unchanged,adj,2,remain,v,1,
,,,1,unclear,adj,2,remain,v,1,
