Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
assessment,1,483,1,assessment,n,2,accurate,adj,1,1769
background,4,,4,background,n,2,cultural,adj,1,
career,1,,4,background,n,2,diverse,adj,1,
class,2,,4,background,n,2,historical,adj,1,
climate,2,,4,background,n,2,social,adj,1,
conflict,5,,1,career,n,2,academic,adj,1,
data,18,,2,class,n,2,low,adj,1,
employment,2,,2,class,n,2,ruling,adj,1,
government,6,,2,climate,n,2,current,adj,1,
information,23,,2,climate,n,2,political,adj,1,
learning,3,,5,conflict,n,2,armed,adj,1,
medium,6,,5,conflict,n,2,internal,adj,1,
minority,2,,5,conflict,n,2,political,adj,1,
party,4,,5,conflict,n,2,potential,adj,1,
planning,1,,5,conflict,n,2,social,adj,1,
problem,12,,18,data,n,2,appropriate,adj,1,
research,26,,18,data,n,2,available,adj,1,
risk,2,,18,data,n,2,empirical,adj,1,
security,1,,18,data,n,2,existing,adj,1,
service,1,,18,data,n,2,experimental,adj,1,
source,16,,18,data,n,2,historical,adj,1,
state,5,,18,data,n,2,missing,adj,1,
survey,2,,18,data,n,2,numerical,adj,1,
test,2,,18,data,n,2,original,adj,1,
thinking,2,,18,data,n,2,preliminary,adj,1,
thought,1,,18,data,n,2,primary,adj,1,
transport,1,,18,data,n,2,qualitative,adj,1,
welfare,3,,18,data,n,2,quantitative,adj,1,
concept,6,,18,data,n,2,raw,adj,1,
achievement,1,,18,data,n,2,relevant,adj,1,
circle,1,,18,data,n,2,reliable,adj,1,
community,8,,18,data,n,2,secondary,adj,1,
debate,8,,18,data,n,2,statistical,adj,1,
discipline,1,,2,employment,n,2,full,adj,1,
discourse,4,,2,employment,n,2,paid,adj,1,
institution,9,,6,government,n,2,central,adj,1,
journal,4,,6,government,n,2,federal,adj,1,
life,3,,6,government,n,2,local,adj,1,
performance,4,,6,government,n,2,municipal,adj,1,
skill,7,,6,government,n,2,national,adj,1,
study,21,,6,government,n,2,representative,adj,1,
success,2,,23,information,n,2,accurate,adj,1,
work,17,,23,information,n,2,additional,adj,1,
world,7,,23,information,n,2,available,adj,1,
writing,4,,23,information,n,2,basic,adj,1,
year,1,,23,information,n,2,detailed,adj,1,
responsibility,4,,23,information,n,2,digital,adj,1,
behaviour,6,,23,information,n,2,essential,adj,1,
description,2,,23,information,n,2,factual,adj,1,
measurement,1,,23,information,n,2,full,adj,1,
picture,2,,23,information,n,2,further,adj,1,
record,2,,23,information,n,2,given,adj,1,
goal,3,,23,information,n,2,limited,adj,1,
objective,3,,23,information,n,2,little,adj,1,
outcome,6,,23,information,n,2,necessary,adj,1,
knowledge,8,,23,information,n,2,personal,adj,1,
involvement,2,,23,information,n,2,related,adj,1,
participant,1,,23,information,n,2,relevant,adj,1,
participation,4,,23,information,n,2,reliable,adj,1,
role,15,,23,information,n,2,specific,adj,1,
cost,2,,23,information,n,2,statistical,adj,1,
resource,10,,23,information,n,2,sufficient,adj,1,
