Headwords,# Collocates,Total headwords,# Collocates,Headword,POS,Position,Collocate,POS,Position,Total collocations
apply,1,19,1,apply,v,1,equally,adv,2,29
behave,1,,1,behave,v,1,differently,adv,2,
change,3,,3,change,v,1,constantly,adv,2,
communicate,1,,3,change,v,1,dramatically,adv,2,
contribute,1,,3,change,v,1,rapidly,adv,2,
differ,3,,1,communicate,v,1,effectively,adv,2,
expand,1,,1,contribute,v,1,significantly,adv,2,
explore,1,,3,differ,v,1,considerably,adv,2,
grow,1,,3,differ,v,1,significantly,adv,2,
increase,1,,3,differ,v,1,widely,adv,2,
occur,2,,1,expand,v,1,rapidly,adv,2,
rely,1,,1,explore,v,1,further,adv,2,
respond,1,,1,grow,v,1,rapidly,adv,2,
state,1,,1,increase,v,1,dramatically,adv,2,
think,1,,2,occur,v,1,frequently,adv,2,
treat,2,,2,occur,v,1,naturally,adv,2,
use,2,,1,rely,v,1,heavily,adv,2,
vary,4,,1,respond,v,1,appropriately,adv,2,
work,1,,1,state,v,1,explicitly,adv,2,
,,,1,think,v,1,differently,adv,2,
,,,2,treat,v,1,differently,adv,2,
,,,2,treat,v,1,equally,adv,2,
,,,2,use,v,1,effectively,adv,2,
,,,2,use,v,1,sparingly,adv,2,
,,,4,vary,v,1,considerably,adv,2,
,,,4,vary,v,1,greatly,adv,2,
,,,4,vary,v,1,significantly,adv,2,
,,,4,vary,v,1,widely,adv,2,
,,,1,work,v,1,effectively,adv,2,
